population,population_definition,removed_source,code,label,remaining_denominator_n,remaining_positive_records_n,remaining_positive_percent,full_rank_by_record_count,remaining_rank_by_record_count,rank_change
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,telegram_off_platform,Telegram or private-channel coordination reference,979,82,8.376,9,9,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,tutorial_training_recruitment,"Tutorial, guide, or training content",979,104,10.623,8,8,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,bank_drop_sale,Bank drop sale or bank-drop infrastructure,976,116,11.885,7,6,-1
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,bank_log_sale,Compromised bank log sale or discussion,976,177,18.135,1,1,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,cashout_laundering_service,Cash-out or laundering service,976,118,12.09,5,5,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,976,123,12.602,2,3,1
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,email_access_takeover,Email-access-enabled account takeover,976,62,6.352,10,10,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",976,121,12.398,4,4,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,fullz_identity_package,Fullz or identity package,976,124,12.705,3,2,-1
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,jurisdiction_localisation,Jurisdiction-specific bank or account reference,976,116,11.885,6,7,1
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,mule_recruitment,Mule recruitment or account-holder solicitation,976,9,0.922,11,11,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,telegram_off_platform,Telegram or private-channel coordination reference,976,82,8.402,9,9,0
full_screened,All combined records evaluated by the deterministic screen,14. Lonely Road,tutorial_training_recruitment,"Tutorial, guide, or training content",976,104,10.656,8,8,0
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,bank_drop_sale,Bank drop sale or bank-drop infrastructure,972,115,11.831,7,6,-1
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,bank_log_sale,Compromised bank log sale or discussion,972,175,18.004,1,1,0
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,cashout_laundering_service,Cash-out or laundering service,972,115,11.831,5,7,2
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,972,122,12.551,2,3,1
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,email_access_takeover,Email-access-enabled account takeover,972,61,6.276,10,10,0
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",972,118,12.14,4,4,0
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,fullz_identity_package,Fullz or identity package,972,124,12.757,3,2,-1
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,jurisdiction_localisation,Jurisdiction-specific bank or account reference,972,116,11.934,6,5,-1
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,mule_recruitment,Mule recruitment or account-holder solicitation,972,9,0.926,11,11,0
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,telegram_off_platform,Telegram or private-channel coordination reference,972,78,8.025,9,9,0
full_screened,All combined records evaluated by the deterministic screen,15. Tenebris,tutorial_training_recruitment,"Tutorial, guide, or training content",972,101,10.391,8,8,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,bank_drop_sale,Bank drop sale or bank-drop infrastructure,974,115,11.807,7,7,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,bank_log_sale,Compromised bank log sale or discussion,974,178,18.275,1,1,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,cashout_laundering_service,Cash-out or laundering service,974,118,12.115,5,5,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,974,124,12.731,2,2,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,email_access_takeover,Email-access-enabled account takeover,974,62,6.366,10,10,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",974,120,12.32,4,4,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,fullz_identity_package,Fullz or identity package,974,124,12.731,3,3,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,jurisdiction_localisation,Jurisdiction-specific bank or account reference,974,117,12.012,6,6,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,mule_recruitment,Mule recruitment or account-holder solicitation,974,9,0.924,11,11,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,telegram_off_platform,Telegram or private-channel coordination reference,974,82,8.419,9,9,0
full_screened,All combined records evaluated by the deterministic screen,17. XmrBazaar,tutorial_training_recruitment,"Tutorial, guide, or training content",974,103,10.575,8,8,0
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,bank_drop_sale,Bank drop sale or bank-drop infrastructure,908,114,12.555,7,4,-3
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,bank_log_sale,Compromised bank log sale or discussion,908,163,17.952,1,1,0
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,cashout_laundering_service,Cash-out or laundering service,908,109,12.004,5,6,1
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,908,113,12.445,2,5,3
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,email_access_takeover,Email-access-enabled account takeover,908,58,6.388,10,10,0
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",908,119,13.106,4,2,-2
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,fullz_identity_package,Fullz or identity package,908,105,11.564,3,7,4
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,jurisdiction_localisation,Jurisdiction-specific bank or account reference,908,117,12.885,6,3,-3
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,mule_recruitment,Mule recruitment or account-holder solicitation,908,6,0.661,11,11,0
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,telegram_off_platform,Telegram or private-channel coordination reference,908,64,7.048,9,9,0
full_screened,All combined records evaluated by the deterministic screen,2. Altenen,tutorial_training_recruitment,"Tutorial, guide, or training content",908,85,9.361,8,8,0
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,bank_drop_sale,Bank drop sale or bank-drop infrastructure,890,104,11.685,7,5,-2
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,bank_log_sale,Compromised bank log sale or discussion,890,163,18.315,1,1,0
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,cashout_laundering_service,Cash-out or laundering service,890,106,11.91,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,890,110,12.36,2,3,1
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,email_access_takeover,Email-access-enabled account takeover,890,53,5.955,10,10,0
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",890,103,11.573,4,7,3
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,fullz_identity_package,Fullz or identity package,890,112,12.584,3,2,-1
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,jurisdiction_localisation,Jurisdiction-specific bank or account reference,890,104,11.685,6,6,0
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,mule_recruitment,Mule recruitment or account-holder solicitation,890,6,0.674,11,11,0
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,telegram_off_platform,Telegram or private-channel coordination reference,890,62,6.966,9,9,0
full_screened,All combined records evaluated by the deterministic screen,3. Pitch,tutorial_training_recruitment,"Tutorial, guide, or training content",890,84,9.438,8,8,0
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,bank_drop_sale,Bank drop sale or bank-drop infrastructure,903,110,12.182,7,5,-2
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,bank_log_sale,Compromised bank log sale or discussion,903,150,16.611,1,1,0
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,cashout_laundering_service,Cash-out or laundering service,903,96,10.631,5,8,3
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,903,102,11.296,2,6,4
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,email_access_takeover,Email-access-enabled account takeover,903,58,6.423,10,10,0
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",903,120,13.289,4,2,-2
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,fullz_identity_package,Fullz or identity package,903,112,12.403,3,4,1
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,jurisdiction_localisation,Jurisdiction-specific bank or account reference,903,115,12.735,6,3,-3
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,mule_recruitment,Mule recruitment or account-holder solicitation,903,9,0.997,11,11,0
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,telegram_off_platform,Telegram or private-channel coordination reference,903,82,9.081,9,9,0
full_screened,All combined records evaluated by the deterministic screen,4. Caders Heven,tutorial_training_recruitment,"Tutorial, guide, or training content",903,102,11.296,8,7,-1
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,bank_drop_sale,Bank drop sale or bank-drop infrastructure,889,110,12.373,7,5,-2
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,bank_log_sale,Compromised bank log sale or discussion,889,176,19.798,1,1,0
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,cashout_laundering_service,Cash-out or laundering service,889,86,9.674,5,8,3
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,889,119,13.386,2,2,0
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,email_access_takeover,Email-access-enabled account takeover,889,62,6.974,10,9,-1
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",889,117,13.161,4,4,0
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,fullz_identity_package,Fullz or identity package,889,119,13.386,3,3,0
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,jurisdiction_localisation,Jurisdiction-specific bank or account reference,889,106,11.924,6,6,0
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,mule_recruitment,Mule recruitment or account-holder solicitation,889,8,0.9,11,11,0
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,telegram_off_platform,Telegram or private-channel coordination reference,889,60,6.749,9,10,1
full_screened,All combined records evaluated by the deterministic screen,5. CardPro,tutorial_training_recruitment,"Tutorial, guide, or training content",889,101,11.361,8,7,-1
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,bank_drop_sale,Bank drop sale or bank-drop infrastructure,890,107,12.022,7,5,-2
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,bank_log_sale,Compromised bank log sale or discussion,890,173,19.438,1,1,0
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,cashout_laundering_service,Cash-out or laundering service,890,108,12.135,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,890,116,13.034,2,2,0
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,email_access_takeover,Email-access-enabled account takeover,890,59,6.629,10,10,0
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",890,80,8.989,4,9,5
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,fullz_identity_package,Fullz or identity package,890,104,11.685,3,6,3
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,jurisdiction_localisation,Jurisdiction-specific bank or account reference,890,111,12.472,6,3,-3
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,mule_recruitment,Mule recruitment or account-holder solicitation,890,9,1.011,11,11,0
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,telegram_off_platform,Telegram or private-channel coordination reference,890,82,9.213,9,8,-1
full_screened,All combined records evaluated by the deterministic screen,6. The X Wave Market,tutorial_training_recruitment,"Tutorial, guide, or training content",890,94,10.562,8,7,-1
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,bank_drop_sale,Bank drop sale or bank-drop infrastructure,888,102,11.486,7,6,-1
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,bank_log_sale,Compromised bank log sale or discussion,888,149,16.779,1,1,0
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,cashout_laundering_service,Cash-out or laundering service,888,114,12.838,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,888,120,13.514,2,2,0
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,email_access_takeover,Email-access-enabled account takeover,888,41,4.617,10,10,0
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",888,120,13.514,4,3,-1
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,fullz_identity_package,Fullz or identity package,888,112,12.613,3,5,2
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,jurisdiction_localisation,Jurisdiction-specific bank or account reference,888,81,9.122,6,8,2
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,mule_recruitment,Mule recruitment or account-holder solicitation,888,9,1.014,11,11,0
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,telegram_off_platform,Telegram or private-channel coordination reference,888,80,9.009,9,9,0
full_screened,All combined records evaluated by the deterministic screen,7. Meta Banklogs,tutorial_training_recruitment,"Tutorial, guide, or training content",888,98,11.036,8,7,-1
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,bank_drop_sale,Bank drop sale or bank-drop infrastructure,886,115,12.98,7,6,-1
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,bank_log_sale,Compromised bank log sale or discussion,886,174,19.639,1,1,0
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,cashout_laundering_service,Cash-out or laundering service,886,118,13.318,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,886,125,14.108,2,2,0
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,email_access_takeover,Email-access-enabled account takeover,886,58,6.546,10,10,0
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",886,120,13.544,4,3,-1
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,fullz_identity_package,Fullz or identity package,886,118,13.318,3,5,2
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,jurisdiction_localisation,Jurisdiction-specific bank or account reference,886,112,12.641,6,7,1
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,mule_recruitment,Mule recruitment or account-holder solicitation,886,9,1.016,11,11,0
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,telegram_off_platform,Telegram or private-channel coordination reference,886,82,9.255,9,9,0
full_screened,All combined records evaluated by the deterministic screen,8. Secure ccSeller,tutorial_training_recruitment,"Tutorial, guide, or training content",886,100,11.287,8,8,0
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,bank_drop_sale,Bank drop sale or bank-drop infrastructure,933,116,12.433,7,4,-3
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,bank_log_sale,Compromised bank log sale or discussion,933,163,17.471,1,1,0
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,cashout_laundering_service,Cash-out or laundering service,933,114,12.219,5,6,1
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,933,116,12.433,2,5,3
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,email_access_takeover,Email-access-enabled account takeover,933,60,6.431,10,10,0
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",933,114,12.219,4,7,3
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,fullz_identity_package,Fullz or identity package,933,123,13.183,3,2,-1
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,jurisdiction_localisation,Jurisdiction-specific bank or account reference,933,117,12.54,6,3,-3
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,mule_recruitment,Mule recruitment or account-holder solicitation,933,9,0.965,11,11,0
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,telegram_off_platform,Telegram or private-channel coordination reference,933,80,8.574,9,9,0
full_screened,All combined records evaluated by the deterministic screen,9. Deep Shop,tutorial_training_recruitment,"Tutorial, guide, or training content",933,100,10.718,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,bank_drop_sale,Bank drop sale or bank-drop infrastructure,415,97,23.373,6,7,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,bank_log_sale,Compromised bank log sale or discussion,415,162,39.036,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,cashout_laundering_service,Cash-out or laundering service,415,108,26.024,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,415,116,27.952,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,email_access_takeover,Email-access-enabled account takeover,415,59,14.217,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",415,98,23.614,4,6,2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,fullz_identity_package,Fullz or identity package,415,113,27.229,3,3,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,jurisdiction_localisation,Jurisdiction-specific bank or account reference,415,99,23.855,7,5,-2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,mule_recruitment,Mule recruitment or account-holder solicitation,415,7,1.687,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,telegram_off_platform,Telegram or private-channel coordination reference,415,68,16.386,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,tutorial_training_recruitment,"Tutorial, guide, or training content",415,87,20.964,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,bank_drop_sale,Bank drop sale or bank-drop infrastructure,413,84,20.339,6,8,2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,bank_log_sale,Compromised bank log sale or discussion,413,148,35.835,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,cashout_laundering_service,Cash-out or laundering service,413,109,26.392,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,413,112,27.119,2,3,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,email_access_takeover,Email-access-enabled account takeover,413,55,13.317,10,10,0
